keyword,position,volume,kd,target_url,priority,action
pa paycheck calculator,73,8100,28,/states/pennsylvania.html,critical,Strengthen existing PA page + relevant links
adp paycheck calculator pa,62,1900,64,/states/pennsylvania.html,low,Do not target competitor brand aggressively
pa payroll calculator,76,1000,18,/states/pennsylvania.html,high,PA/payroll title and headings + links
pa calculator,73,590,19,/states/pennsylvania.html,high,Maintain natural PA calculator variants
paycheck tax calculator pa,71,590,11,/states/pennsylvania.html,high,Use tax breakdown and PA-specific accuracy
"tax calculator paycheck pa",73,590,13,/states/pennsylvania.html,high,Use tax breakdown and PA-specific accuracy
payroll calculator pa,66,480,26,/states/pennsylvania.html,high,Strengthen payroll language/internal links
pa wage calculator,66,480,15,/states/pennsylvania.html,high,Add hourly/wage relevance
pa tax paycheck calculator,71,390,17,/states/pennsylvania.html,high,Keep state/local/FICA breakdown prominent
pennsylvania pay calculator,68,320,13,/states/pennsylvania.html,high,Retain Pennsylvania/pay terminology
pa paycheck,80,320,11,/states/pennsylvania.html,medium,Natural synonym coverage
pa payroll tax calculator,65,260,12,/states/pennsylvania.html,high,Tax breakdown + local tax feature
pa payroll,30,170,41,/states/pennsylvania.html,medium,Already strongest visible position; preserve relevance
pa hourly wage calculator,64,140,12,/states/pennsylvania.html,high,Consider hourly-input enhancement next
salary tax calculator pa,66,110,8,/states/pennsylvania.html,high,Strong low-KD long-tail
philadelphia take home pay calculator,70,90,17,/states/pennsylvania.html,high,Philadelphia local tax mode now added
paycheck estimator pa,60,90,17,/states/pennsylvania.html,high,Use estimator wording naturally
philadelphia payroll tax calculator,66,70,12,/states/pennsylvania.html,high,Philadelphia current-rate mode now added
pa taxes paycheck,63,70,8,/states/pennsylvania.html,high,Tax breakdown content
philadelphia wage tax calculator,62,50,11,/states/pennsylvania.html,high,Current resident/nonresident rates now added
city wage tax calculator philadelphia,58,50,16,/states/pennsylvania.html,high,Current resident/nonresident rates now added
pittsburgh paycheck calculator,63,50,15,/states/pennsylvania.html,high,Pittsburgh 3% EIT option now added
taxes taken out of paycheck pa,75,40,6,/states/pennsylvania.html,high,FAQ/tax breakdown intent
