Keyword,Intent,Volume,KD,CPC,Competition,Opportunity Score,Priority Phase,Status,Target URL,Recommended Action
paycheck calculator,Transactional,450000,75.0,3.35,0.01,5294.1,1,Existing,/,Strengthen homepage; long-term head term
texas paycheck calculator,Informational,33100,32.0,2.92,0.01,788.1,1,Existing,/states/texas.html,Retargeted title/H1 + internal links
take home pay calculator,Navigational,49500,73.0,0.82,0.01,596.4,1,Existing,/,Homepage secondary target
florida paycheck calculator,Commercial,22200,32.0,2.17,0.33,528.6,1,Existing,/states/florida.html,Retargeted title/H1 + internal links
california paycheck calculator,Informational,27100,45.0,2.9,0.01,492.7,1,Existing,/states/california.html,Retargeted title/H1; improve accuracy/trust
illinois paycheck calculator,Informational,14800,21.0,2.03,0.01,477.4,1,Existing,/states/illinois.html,Low-KD existing-page opportunity
ohio paycheck calculator,Informational,12100,21.0,2.16,0.01,390.3,1,Existing,/states/ohio.html,Low-KD; corrected 2026 state formula/copy
salary paycheck calculator,Transactional,27100,64.0,2.14,0.01,366.2,1,Existing,/,Homepage secondary target
pa paycheck calculator,Informational,9900,18.0,1.8,0.01,353.6,1,Existing,/states/pennsylvania.html,Low-KD existing-page opportunity
washington paycheck calculator,Commercial,8100,15.0,2.6,0.01,324.0,1,Existing,/states/washington.html,Very low KD existing-page opportunity
new york paycheck calculator,Commercial,8100,19.0,2.61,0.01,279.3,1,Existing,/states/new-york.html,Low-KD existing-page opportunity
georgia paycheck calculator,Commercial,8100,30.0,2.05,0.01,202.5,1,Existing,/states/georgia.html,Existing page; corrected shared 2026 rate
va paycheck calculator,Informational,4400,24.0,2.08,0.01,129.4,1,Existing,/states/virginia.html,Existing page; exact abbreviation variant
nc paycheck calculator,Informational,12100,28.0,2.06,0.01,318.4,2,New page,/states/north-carolina.html,Create detailed page; 2026 state rate opportunity
indiana paycheck calculator,Commercial,6600,13.0,1.78,0.01,287.0,2,New page,/states/indiana.html,Create detailed page; especially attractive KD
colorado paycheck calculator,Commercial,8100,21.0,2.62,0.01,261.3,2,New page,/states/colorado.html,Create detailed page
nj paycheck calculator,Informational,9900,28.0,2.52,0.01,260.5,2,New page,/states/new-jersey.html,Create detailed page using official 2026 NJ rules
oregon paycheck calculator,Commercial,6600,25.0,3.34,0.01,188.6,2,New page,/states/oregon.html,Create detailed page
hourly wage and tax calculator,Informational,3600,29.0,2.45,0.33,92.3,2,Expansion,/,Add hourly-input landing section/page after current pages reindex
paycheck estimator ma,Commercial,5400,17.0,2.98,0.01,200.0,3,New page,/states/massachusetts.html,Use as secondary MA variation
wisconsin paycheck calculator,Commercial,5400,20.0,2.53,0.01,180.0,3,New page,/states/wisconsin.html,Create detailed page
arizona paycheck calculator,Commercial,5400,28.0,1.94,0.01,142.1,3,New page,/states/arizona.html,Create detailed page
idaho paycheck calculator,Commercial,2900,14.0,3.92,0.01,120.8,3,New page,/states/idaho.html,Create detailed page
massachusetts paycheck calculator,Commercial,3600,21.0,2.98,0.01,116.1,3,New page,/states/massachusetts.html,Create detailed page
ct paycheck calculator,Commercial,2900,15.0,5.14,0.01,116.0,3,New page,/states/connecticut.html,Create detailed page
minnesota paycheck calculator,Commercial,3600,24.0,2.81,0.01,105.9,3,New page,/states/minnesota.html,Create detailed page
